#ver@1.12
TASE	KONTO NR	VALUUTA	KONTO NIMETUS	KLASS	TÜÜP	Bilansirida	Bilansigrupp	Kasumiaruande rida	Kasumiaruande grupp
7	2011213	EUR	Käibemaks hankijatele tehtud ettemaksetelt	Detailne	Passiva	2.1.1.2.3.2.4	Võlad ja ettemaksed		
7	2011214	EUR	Impordilt tasutud KM	Detailne	Passiva	2.1.1.2.3.2.5	Võlad ja ettemaksed		
7	2011215	EUR	Põhivara soetuselt tasutud KM	Detailne	Passiva	2.1.1.2.3.2.6	Võlad ja ettemaksed		
7	2011216	EUR	Pöördkäibemaks teenustelt 20%	Detailne	Passiva	2.1.1.2.3.2.7	Võlad ja ettemaksed		
7	2011217	EUR	Pöördkäibemaks kaupadelt 20%	Detailne	Passiva	2.1.1.2.3.2.8	Võlad ja ettemaksed		
7	2011218	EUR	Täpsustused	Detailne	Passiva	2.1.1.2.3.2.9	Võlad ja ettemaksed		
7	2011219	EUR	Käibemaksu tasumine	Detailne	Passiva	2.1.1.2.3.2.10	Võlad ja ettemaksed		
6	201122	EUR	Üksikisiku tulumaks	Detailne	Passiva	2.1.1.2.3.3	Võlad ja ettemaksed		
6	201123	EUR	Erisoodustuse tulumaks	Detailne	Passiva	2.1.1.2.3.4	Võlad ja ettemaksed		
6	201124	EUR	Sotsiaalmaks	Detailne	Passiva	2.1.1.2.3.5	Võlad ja ettemaksed		
6	201125	EUR	Kohustuslik kogumispension	Detailne	Passiva	2.1.1.2.3.6	Võlad ja ettemaksed		
6	201126	EUR	Töötuskindlustusmaksed	Detailne	Passiva	2.1.1.2.3.7	Võlad ja ettemaksed		
6	201127	EUR	Maamaks	Detailne	Passiva	2.1.1.2.3.8	Võlad ja ettemaksed		
6	201128	EUR	Aktsiisimaks	Detailne	Passiva	2.1.1.2.3.9	Võlad ja ettemaksed		
6	201129	EUR	Muud maksuvõlad	Detailne	Passiva	2.1.1.2.3.10	Võlad ja ettemaksed		
5	20113	EUR	Muud võlad	Detailne	Passiva	2.1.1.2.4	Võlad ja ettemaksed		
6	201130	EUR	Intressivõlad	Detailne	Passiva	2.1.1.2.4.1	Võlad ja ettemaksed		
6	201131	EUR	Muud viitvõlad	Detailne	Passiva	2.1.1.2.4.2	Võlad ja ettemaksed		
6	201132	EUR	Muud võlad	Detailne	Passiva	2.1.1.2.4.3	Võlad ja ettemaksed		
5	20114	EUR	Saadud ettemaksed	Detailne	Passiva	2.1.1.2.5	Võlad ja ettemaksed		
6	201140	EUR	Saadud ettemaksed toodete ja teenuste eest	Detailne	Passiva	2.1.1.2.5.1	Võlad ja ettemaksed		
6	201141	EUR	Muud saadud ettemaksed	Detailne	Passiva	2.1.1.2.5.2	Võlad ja ettemaksed		
4	2012	EUR	Eraldised	Koond	Passiva	2.1.1.3	Eraldised		
5	20120	EUR	Eraldised	Detailne	Passiva	2.1.1.3.1	Eraldised		
4	2013	EUR	Sihtfinantseerimine	Koond	Passiva	2.1.1.4	Sihtfinantseerimine		
5	20130	EUR	Sihtfinantseerimine põhivara soetamiseks	Detailne	Passiva	2.1.1.4.1	Sihtfinantseerimine		
5	20131	EUR	Sihtfinantseerimine tegevuskuludeks	Detailne	Passiva	2.1.1.4.2	Sihtfinantseerimine		
3	202	EUR	PIKAAJALISED KOHUSTUSED	Üld	Passiva	2.1.2	PIKAAJALISED KOHUSTUSED KOKKU		
4	2020	EUR	Laenukohustused	Koond	Passiva	2.1.2.1	Laenukohustused		
5	20201	EUR	Pikaajalised pangalaenud	Detailne	Passiva	2.1.2.1.1	Laenukohustused		
5	20202	EUR	Muud pikaajalised laenud krediidiasutustelt	Detailne	Passiva	2.1.2.1.2	Laenukohustused		
5	20203	EUR	Kapitalirendi pikaajaline kohustus	Detailne	Passiva	2.1.2.1.3	Laenukohustused		
5	20204	EUR	Hankijatele tasumata võlad (pikaajaline kohustus)	Detailne	Passiva	2.1.2.1.4	Laenukohustused		
4	2021	EUR	Võlad ja ettemaksed	Koond	Passiva	2.1.2.2	Võlad ja ettemaksed		
5	20210	EUR	Hankijatele tasumata võlad (pikaajaline kohustus)	Detailne	Passiva	2.1.2.2.1	Võlad ja ettemaksed		
4	2022	EUR	Eraldised	Koond	Passiva	2.1.2.3	Eraldised		
4	2023	EUR	Sihtfinantseerimine	Koond	Passiva	2.1.2.4	Sihtfinantseerimine		
2	22	EUR	OMAKAPITAL	Üld	Passiva	2.2	OMAKAPITAL KOKKU		
3	222	EUR	OMAKAPITAL	Üld	Passiva	2.2.1	OMAKAPITAL KOKKU		
4	2220	EUR	Osakapital nimiväärtuses	Koond	Passiva	2.2.1.1	Osakapital nimiväärtuses		
5	22200	EUR	Kohalik kapital	Detailne	Passiva	2.2.1.1.1	Osakapital nimiväärtuses		
5	22201	EUR	Välisriikide osanike kapital	Detailne	Passiva	2.2.1.1.2	Osakapital nimiväärtuses		
4	2221	EUR	Registreerimata osakapital	Koond	Passiva	2.2.1.2	Registreerimata osakapital		
5	22210	EUR	Registreerimata osakapital	Detailne	Passiva	2.2.1.2.1	Registreerimata osakapital		
4	2222	EUR	Ülekurss	Koond	Passiva	2.2.1.3	Ülekurss		
5	22220	EUR	Ülekurss	Detailne	Passiva	2.2.1.3.1	Ülekurss		
4	2223	EUR	Oma osad	Koond	Passiva	2.2.1.4	Oma osad		
5	22230	EUR	Oma osad	Detailne	Passiva	2.2.1.4.1	Oma osad		
4	2224	EUR	Kohustuslik reservkapital	Koond	Passiva	2.2.1.5	Kohustuslik reservkapital		
5	22240	EUR	Kohustuslik reservkapital	Detailne	Passiva	2.2.1.5.1	Kohustuslik reservkapital		
4	2225	EUR	Muud reservid	Koond	Passiva	2.2.1.6	Muud reservid		
5	22250	EUR	Muud reservid	Detailne	Passiva	2.2.1.6.1	Muud reservid		
4	2226	EUR	Eelmiste perioodide jaotamata kasum (kahjum)	Koond	Passiva	2.2.1.7	Eelmiste perioodide jaotamata kasum (kahjum)		
5	22260	EUR	Eelmiste perioodide jaotamata kasum (kahjum)	Detailne	Passiva	2.2.1.7.1	Eelmiste perioodide jaotamata kasum (kahjum)		
4	2227	EUR	Aruandeaasta kasum (kahjum)	Koond	Passiva	2.2.1.8	Aruandeaasta kasum (kahjum)		
5	22270	EUR	Aruandeaasta kasum (kahjum)	Detailne	Passiva	2.2.1.8.1	Aruandeaasta kasum (kahjum)		
1	3	EUR	TULUD	Üld	Tulud			1	TULUD KOKKU
2	31	EUR	MÜÜGITULUD	Üld	Tulud			1.1	MÜÜGITULUD KOKKU
4	3100	EUR	Kauba müük Eestis (20%)	Detailne	Tulud			1.1.1	Müügitulud
4	3101	EUR	Teenuse müük Eestis (20%)	Detailne	Tulud			1.1.2	Müügitulud
4	3102	EUR	Kauba müük EL-i (0%)	Detailne	Tulud			1.1.3	Müügitulud
4	3103	EUR	Teenuse müük EL-i (0%)	Detailne	Tulud			1.1.4	Müügitulud
4	3104	EUR	Kauba eksport	Detailne	Tulud			1.1.5	Müügitulud
4	3105	EUR	Teenuse eksport	Detailne	Tulud			1.1.6	Müügitulud
4	3106	EUR	Kauba/teenuse müük (9%)	Detailne	Tulud			1.1.7	Müügitulud
4	3107	EUR	Muu müügitulu (20%)	Detailne	Tulud			1.1.8	Müügitulud
4	3108	EUR	Käibedeklaratsioonis varem näidatud käive	Detailne	Tulud			1.1.9	Müügitulud
4	3109	EUR	Kolmnurktehing vahendaja	Detailne	Tulud			1.1.10	Müügitulud
2	32	EUR	MUUD ÄRITULUD	Üld	Tulud			1.2	MUUD ÄRITULUD KOKKU
4	3200	EUR	Kasum müügiootel põhivara müügist	Detailne	Tulud			1.2.1	Muud äritulud
4	3201	EUR	Kasum kinnisvarainvesteeringute müügist	Detailne	Tulud			1.2.2	Muud äritulud
4	3202	EUR	Kasum materiaalse põhivara müügist	Detailne	Tulud			1.2.3	Muud äritulud
4	3203	EUR	Kasum immateriaalse põhivara müügist	Detailne	Tulud			1.2.4	Muud äritulud
4	3204	EUR	Kasum kinnisvarainvesteeringute õiglase väärtuse muutusest	Detailne	Tulud			1.2.5	Muud äritulud
4	3205	EUR	Kasum bioloogilise vara õiglase väärtuse muutusest	Detailne	Tulud			1.2.6	Muud äritulud
4	3206	EUR	Tulu sihtfinantseerimisest	Detailne	Tulud			1.2.7	Muud äritulud
4	3207	EUR	Kasum valuutakursi muutustest	Detailne	Tulud			1.2.8	Muud äritulud
4	3208	EUR	Trahvid, viivised ja hüvitised	Detailne	Tulud			1.2.9	Muud äritulud
4	3209	EUR	Rendi- ja üüritulu	Detailne	Tulud			1.2.10	Muud äritulud
